! new fit to shms_replay_matrixopt_10776_10780_-1_fit_tree
 ---------------------------------------------
  -0.000904000507     0.001455414 -3.94701146e-05               0 00000
      -21.6807239      9119.42315      -3077.3649     -721.124351 20120
       64.0900247      370.228843      -158.72645     -817.171968 11120
       123.203627     -601.108213      168.892885     -406.643721 02120
       484.130145     -2907.05002      1406.50349     -614.081888 10220
       348.934612      -225.18575      123.185874     -269.113197 01220
      -1176.97109      7192.05357     -2793.60562     -562.173653 00320
      -100.404814      3800.08713     -1261.70505     -402.195562 20030
       5.79707615      461.610311     -156.093856     -150.006508 11030
       23.0886357      -29.340811      6.09046849     -55.0578267 02030
       258.872757     -1276.27734        561.9853     -16.5448678 10130
       117.273271     -249.909751      96.3225256     -10.4322299 01130
      -480.956235      3122.82788     -1155.32265     -182.735064 00230
       69.5585419       -293.2131      129.765929      6.33640721 10040
       27.7330227     -67.7633875      24.8830918       2.5860752 01040
      -120.676129      803.164639     -293.706175     -33.0662278 00140
       -25.255702       166.10355     -60.9354784     -5.71215558 00050
       84.8098397     -151.219703      49.7159343               0 60000
      -687.260126      1124.16198      -364.69239               0 51000
        1141.7653     -1772.09422      545.682278               0 42000
       838.815953     -1127.79199      379.017476               0 33000
       382.801442     -385.477086      156.700026               0 24000
       149.876223     -101.040831       54.152005               0 15000
          56.4859     -28.1332137      18.0860877               0 06000
       188.560039     -425.988529      100.802713               0 50100
      -1384.89959       2726.6393     -622.188826               0 41100
       1830.89001     -3482.63048      843.900963               0 32100
       1627.74428     -3442.62195      761.285554               0 23100
       855.794892     -1977.57775      412.536978               0 14100
       361.018626     -899.827075      179.296245               0 05100
      -16.3647623     -204.823892      60.7652332               0 40200
      -80.7799813      1822.77715     -649.043984               0 31200
       552.871674     -2956.16156      859.875789               0 22200
       311.646447      -1840.1907      612.606515               0 13200
       82.2897118     -555.723172      232.741046               0 04200
      -65.5971415      587.552076     -157.406991               0 30300
       539.679023      -1634.1977      166.243193               0 21300
      -913.496994      4097.07624     -1328.29213               0 12300
      -688.476529      2846.33728      -893.48667               0 03300
       36.1730958     -219.707738      119.939749               0 20400
      -42.5817585      64.9780635     -229.614093               0 11400
        36.661181      -2364.0715      761.333747               0 02400
      -16.7551688     -622.935281      169.927298               0 10500
       46.9419835     -1471.14948       462.02943               0 01500
      -55.4312653     -146.315084      14.7020024               0 00600
      -644.736242      1126.00932     -265.216916               0 50010
       2609.48674      -3827.2192      795.035231               0 41010
       1406.31039       -2238.129      429.247437               0 32010
       566.969125     -991.239426      186.519973               0 23010
        203.55091     -396.531571      74.8186256               0 14010
       67.2784158     -146.151708      27.9646002               0 05010
       174.077061     -209.549936      272.191774               0 40110
      -641.355173      1069.30497     -244.983371               0 31110
      -163.172082     -76.4786015      51.2153382               0 22110
      -2.16067047     -224.949422      76.7556277               0 13110
       15.9757182     -119.164188       39.094686               0 04110
       23.8728437     -3175.95771      1536.32372               0 30210
       180.200268      493.566734     -89.2718139               0 21210
      -36.9813027      821.137332     -256.273062               0 12210
      -73.5460194      491.805784     -146.774796               0 03210
      -43.6105076      2912.83143     -845.161713               0 20310
      -357.123024       571.42495     -117.132119               0 11310
      -176.786502     -38.7168923      56.2632096               0 02310
      -281.808601      7801.37147     -2186.43191               0 10410
        287.39371      1801.08768       -612.5069               0 01410
       282.778278      917.235661     -62.4161916               0 00510
      -473.397179      1145.89233     -259.400847               0 40020
      -158.057847       369.74185     -107.527485               0 31020
      -36.4610803      48.1875528     -17.5186118               0 22020
      -3.38002879     -16.5295734      2.92780927               0 13020
       1.84750329       -14.60451      3.38222759               0 04020
       144.090304     -2069.99486      785.830695               0 30120
       24.6563015     -127.018002      63.2864656               0 21120
      -6.50046567      97.7791292      -27.152413               0 12120
      -10.4838105      69.8023662     -19.6729984               0 03120
      -124.705628       735.48521     -225.261142               0 20220
      -94.6393726      150.610734     -31.1356271               0 11220
      -36.0077171      1.81750552      6.56288701               0 02220
       36.0550078      1358.02663     -401.877077               0 10320
       56.7452179      447.548377     -162.850676               0 01320
       124.006124      430.271692     -1.16154202               0 00420
       9.23693481     -684.118309      254.872851               0 30030
     -0.949249032     -90.8026302      35.7935677               0 21030
      -2.12005917      1.34108533     0.718484484               0 12030
      -1.74499795      7.75000343     -2.03715078               0 03030
      -40.8834732      209.736425     -79.5968325               0 20130
      -21.3394674      42.6300223     -13.5423678               0 11130
      -6.59241693      1.78476632    -0.288532835               0 02130
       32.7960395      24.9272591      3.98104964               0 10230
       12.5598511      52.7452381     -19.4690128               0 01230
       18.9523279      172.008277      -32.314651               0 00330
      -12.1309054      60.9078418      -24.687906               0 20040
      -4.77545108      12.4818213      -4.6084248               0 11040
      -1.26652513       1.1815584    -0.512344665               0 02040
       11.8430263     -51.9452147      20.7382932               0 10140
       3.01978221     -1.01388177     0.148045473               0 01140
     -0.106210425      53.7625364     -15.0777281               0 00240
       2.87800598     -17.7648642      6.78033904               0 10050
      0.648906995     -2.02323843     0.645667733               0 01050
      -0.79159121      12.3518633      -4.0119194               0 00150
      -0.27892882      2.26317085    -0.817106191               0 00060
      0.292838822   -0.0779452895     0.044292394     0.845582884 00001
      -1.40937257     0.301926272    -0.187978798     -2.47726545 10001
       3.33484635    -0.862548002     0.574689547      10.5041925 01001
      0.013045016      4.51258325    -0.861523847    0.0259132153 00101
    -0.0618394303     -47.7437684      8.94535901    -0.107744042 00011
      -1.06632062      0.16674145    -0.107916202      -1.3022916 00002
 ---------------------------------------------
